genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,sample,substrate,country,origin,assign,database
GCF_003946625.1_ASM394662v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kedongensis,NCBI,RefSeq,GCF_003946625.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003946205.1_ASM394620v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus keshanensis,NCBI,RefSeq,GCF_003946205.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001438805.1_ASM143880v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kimchiensis,NCBI,RefSeq,GCF_001438805.1,Kimchi,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001435445.1_ASM143544v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kimchii,NCBI,RefSeq,GCF_001435445.1,Kimchi,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002762335.1_ASM276233v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus metriopterae,NCBI,RefSeq,GCF_002762335.1,Type material of Lactobacillus terrae,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_007992055.1_ASM799205v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus mindensis,NCBI,RefSeq,GCF_007992055.1,Sourdough,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003946505.1_ASM394650v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus mishanensis,NCBI,RefSeq,GCF_003946505.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003967595.1_ASM396759v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus musae,NCBI,RefSeq,GCF_003967595.1,Banana fruits,fruit,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_007991935.1_ASM799193v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus nantensis,NCBI,RefSeq,GCF_007991935.1,Wheat sourdough,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001592065.1_ASM159206v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus nodensis,NCBI,RefSeq,GCF_001592065.1,Type material of Lactobacillus nodensis,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002872255.1_ASM287225v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus nuruki,NCBI,RefSeq,GCF_002872255.1,nuruk,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001434985.1_ASM143498v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius,NCBI,RefSeq,GCF_001434985.1,Sourdough,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002179915.1_ASM217991v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius_A,NCBI,RefSeq,GCF_002179915.1,grape variety Bobal,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967712__bin.13,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus sp. 1,Carlino et al. 2024,MAG,NA,NA,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967692__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus sp. 2,Carlino et al. 2024,MAG,NA,NA,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_68__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus sp. 3,Carlino et al. 2024,MAG,NA,finocchiona,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_69__bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus sp. 4,Carlino et al. 2024,MAG,NA,salame_napoli,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5653374__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus sp. 5,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_004745525.1_ASM474552v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus suantsaicola,NCBI,RefSeq,GCF_004745525.1,"suan tsai, fermented vegetables",vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001434665.1_ASM143466v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus tucceti,NCBI,RefSeq,GCF_001434665.1,Sausage,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001434295.1_ASM143429v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus versmoldensis,NCBI,RefSeq,GCF_001434295.1,Poultry salami,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003606365.2_ASM360636v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus zhachilii,NCBI,RefSeq,GCF_003606365.2,Type material of Lactobacillus zhachilii,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_5__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus zhongbaensis subsp. 1,Carlino et al. 2024,MAG,NA,castelmagno,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003946515.1_ASM394651v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus zhongbaensis subsp. 2,NCBI,RefSeq,GCF_003946515.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003096575.1_ASM309657v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Convivina,Convivina intestini,NCBI,RefSeq,GCF_003096575.1,Type material of Convivina intestini,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF45__bin.11,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium amycolatum_A,Carlino et al. 2024,MAG,NA,cassava,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2614__bin.9,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium casei,Carlino et al. 2024,MAG,NA,cheese_1_before_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS04-30__bin.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium faecigallinarum,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF06__bin.4,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium faecipullorum,Carlino et al. 2024,MAG,NA,locust_bean,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0141-001_Corynebacterium_flavescens_CCUG_28791T,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium flavescens,Whon et al. 2021,draft,NA,cheese,dairy,Sweden,Sweden,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__A-20__bin.26,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium gallinarum,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium nuruki,Whon et al. 2021,draft,NA,alcohol fermentation starter,grains,Unknown,Unknown,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF59__bin.3,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium phoceense,Carlino et al. 2024,MAG,NA,pentaclehtra_macrophylla_oil_bean,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__C-20__bin.8,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium pollutisoli,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF11__bin.2,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium provencense,Carlino et al. 2024,MAG,NA,pentaclehtra_macrophylla_oil_bean,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2570__bin.32,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 1,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS11-30__bin.13,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 2,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF45__bin.5,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 3,Carlino et al. 2024,MAG,NA,cassava,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__A-20__bin.11,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 4,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_2__bin.17,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 5,Carlino et al. 2024,MAG,NA,salame_avellino,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2517__bin.19,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 6,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__A-20__bin.21,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp. 7,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__C-20__bin.3,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp012837295,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__A-20__bin.16,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp012838985,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__C07-19__bin.10,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium testudinoris,Carlino et al. 2024,MAG,NA,cured_meat_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS04-28__bin.27,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium variabile,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;core,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__E-20__bin.6,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium xerosis subsp. 1,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__R03-19__bin.7,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium xerosis subsp. 2,Carlino et al. 2024,MAG,NA,fresh_meat_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF76__bin.15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter dublinensis,Carlino et al. 2024,MAG,NA,finger_millet_and_pearl_millet,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
P.1_bin.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter malonaticus,Kothe et al. 2023b,MAG,NA,novel miso,legumes,Denmark,"Copenhagen, Denmark",prokaryote,MiFoDB_gamma_v1_prok
LeonardSR_2016__SRS1659779__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter turicensis,Carlino et al. 2024,MAG,NA,spinach_spiked_with_stec,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ArikanM_2020__ERS1939655__bin.12,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Carlino et al. 2024,MAG,NA,kombucha,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__RC17-01__bin.7,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus proteolyticus,Carlino et al. 2024,MAG,NA,milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__F01-19__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa algida,Carlino et al. 2024,MAG,NA,sausage_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__F02-18__bin.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa sp. 1,Carlino et al. 2024,MAG,NA,sausage_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__C05-16__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa sp. 2,Carlino et al. 2024,MAG,NA,cured_meat_before_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__Q07-30__bin.12,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Demetria,Demetria sp.,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_3__VB13-29__bin.32,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermabacteraceae,Dermabacter,Dermabacter sp943913905,Carlino et al. 2024,MAG,NA,ripened_cheese_a_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__C05-18__bin.6,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Dermacoccus,Dermacoccus nishinomiyaensis,Carlino et al. 2024,MAG,NA,cured_meat_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshL_xxxx__H3_S87__bin.25,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister sp000434475,Carlino et al. 2024,MAG,NA,milk_kefir_contamined,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0107-002_Dietzia_alimentaria_72T,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Dietzia,Dietzia alimentaria,Whon et al. 2021,draft,NA,fermented seafoods,seafood,Unknown,Unknown,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS12-29__bin.35,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Dietzia,Dietzia sp. 1,Carlino et al. 2024,MAG,NA,cheese_1_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_2__VB16-30__bin.6,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Dietzia,Dietzia sp. 2,Carlino et al. 2024,MAG,NA,ripened_cheese_b_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-19__bin.15,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Duganella,Duganella sp.,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__PM012_71775__bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia meningoseptica,Carlino et al. 2024,MAG,NA,provolone_del_monaco,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF43__bin.8,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Enteractinococcus,Enteractinococcus sp.,Carlino et al. 2024,MAG,NA,pentaclehtra_macrophylla_oil_bean,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_091.9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,This paper,MAG,NA,Superior Qu,wheat,United States of America,"Liberty, TN, United States of America",prokaryote,MiFoDB_gamma_v1_prok
LeonardSR_2016__SRS1659769__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter bugandensis,Carlino et al. 2024,MAG,NA,spinach_spiked_with_stec,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967698__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei_A,Carlino et al. 2024,MAG,NA,tempeh,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_79__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter kobei,Carlino et al. 2024,MAG,NA,castelmagno,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LiZ_2019__SRS3379157__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter mori,Carlino et al. 2024,MAG,NA,NA,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
XieM_2019__SAMC044639__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter quasihormaechei,Carlino et al. 2024,MAG,NA,dajiang-meju,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF89__bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter vonholyi,Carlino et al. 2024,MAG,NA,cassava,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF73__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter_D,Enterobacter_D kobei_A,Carlino et al. 2024,MAG,NA,finger_millet,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_144.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter_D,Enterobacter_D sp.,This paper,MAG,NA,Red Sauerkraut 96h,vegetable,United States of America,"Stanford, CA, United States of America",prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2235_73323__bin.9,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Carlino et al. 2024,MAG,NA,cheese_2_before_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__GO004_71775__bin.8,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_A,Enterococcus_A gilvus,Carlino et al. 2024,MAG,NA,gorgonzola,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0149-001_Enterococcus_malodoratus_DSM_20681,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_A,Enterococcus_A malodoratus,Whon et al. 2021,draft,NA,cheese,dairy,China,China,prokaryote,MiFoDB_gamma_v1_prok
SalvettiE_2016__SRS1050146__bin.17,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_A,Enterococcus_A sp.,Carlino et al. 2024,MAG,NA,vitis_vinifera_l_cv_corvina_grape_withering,fruit,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__SR008_71775__bin.23,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_A,Enterococcus_A viikkiensis,Carlino et al. 2024,MAG,NA,soppressata_di_ricigliano,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0155-001_Enterococcus_durans_IQ23,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B durans,Whon et al. 2021,draft,NA,cheese,dairy,Argentina,Argentina,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0168-001_Enterococcus_faecium_IQ110,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B faecium,Whon et al. 2021,draft,NA,cheese,dairy,Argentina,Argentina,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B lactis,Whon et al. 2021,draft,NA,cheese,dairy,France,France,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__C07-19__bin.9,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D casseliflavus,Carlino et al. 2024,MAG,NA,cured_meat_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
YulandiA_2020__SRS6115053__bin.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D gallinarum,Carlino et al. 2024,MAG,NA,tempeh,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
YulandiA_2020__SRS6115052__bin.8,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_E,Enterococcus_E cecorum,Carlino et al. 2024,MAG,NA,tempeh,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2618__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_G,Enterococcus_G italicus,Carlino et al. 2024,MAG,NA,cheese_1_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__M-20__bin.11,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Epilithonimonas,Epilithonimonas bovis,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__V-21__bin.37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Epilithonimonas,Epilithonimonas ginsengisoli,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
SalvettiE_2016__SRS1050146__bin.19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia billingiae,Carlino et al. 2024,MAG,NA,vitis_vinifera_l_cv_corvina_grape_withering,fruit,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_080.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia persicina,This paper,MAG,NA,Dofu mold,soy,United States of America,"Liberty, TN, United States of America",prokaryote,MiFoDB_gamma_v1_prok
WolfeBE_2014__932_Robiola_due_Latte__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia sp.,Carlino et al. 2024,MAG,NA,robiola_due_latti,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_140.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia sp000599885,This paper,MAG,NA,Wild Sauerkraut 96h,vegetable,United States of America,"Stanford, CA, United States of America",prokaryote,MiFoDB_gamma_v1_prok
EBC_095.37,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia sp003937915,This paper,MAG,NA,Daikon Kasuzuke,vegetable,United States of America,"Liberty, TN, United States of America",prokaryote,MiFoDB_gamma_v1_prok
SalvettiE_2016__SRS1050146__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia_B,Erwinia_B gerundensis,Carlino et al. 2024,MAG,NA,vitis_vinifera_l_cv_corvina_grape_withering,fruit,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
